Long Form Variables,,,,
ID,Participant ID,,,
Order,Order the key was tried in,,,
StartTime,Time when test started (in ms),,,
Time,Time when the key attempt was coded (in ms),,,
Time_relStart,Time - StartTime,,,
Box,The color of the box the key was tried on (red/pink/blue/white/purple),,,
Key,The key which was used (see Key Guide for pictures & labels),,,
Worked,Whether the key they tried opened the box,,,
Error,"Whether they received correct evidence from the attempt (i.e., did the box open when it was supposed to)",,,
ColorMatch,Whether the key they attempted matched the color of the box,,,
NumMatch,Whether the key they attempted matched the highest number on the box,,,
ShapeMatch,Whether the key they attempted matched the shape on the box,,,
,,,,
Short Form Variables,,,,
ID,Participant ID,,,
Age,Age (in yrs),,,
Gender,Caregiver-reported gender,,,
Location,Location participant tested (lab or museum),,,
Teacher,Gender of the teacher in instructional video,,,
NumUnlock,Total number of locks unlocked (out of 5),,,
Solved,Whether all 5 locks were unlocked,,,
UnlockTime,Time taken to finish (either 300s or time until all 5 unlocked),,,
Gen1,Key chosen on first generalization trial ,,,
Gen2,Key chosen on second generalization trial ,,,
Gen3,Key chosen on third generalization trial ,,,
Gen4,Key chosen on fourth generalization trial ,,,
ColorRule,Total number of color-matched choices during generalization,,,
NumRule,Total number of number-matched choices during generaliztion,,,
BlameSelf,Whether they blamed failure with color-matched keys on themselves or the teacher,,,
Blame,"The extent to which they blamed failure on themselves (6 = self a lot wrong, 1 = teacher a lot wrong)",,,
SocioAvg,Average overall sociotropy score,,,
SocioConcern,Average sociotropy score for Concern for What Others Think subscale,,,
SocioDepend,Average sociotropy score for Dependency subscale,,,
SocioPlease,Average sociotropy score for Pleasing Others subscale,,,